country,date,population,mobile_sub,health,internetUser,gdp_per_cap,mobile_per_cap,log_gdp_per_cap,log_health,region
Panama,2010,3516820,6496155,20,43,7614,1.847167327301369,8.937744068279445,2.995782272304033,The Americas
Papua New Guinea,2000,5378824,8560,74,1,655,0.0015914259325086673,6.484636762351644,4.304078606626376,Oceania
Papua New Guinea,2010,6858266,1909078,61,1,1382,0.27836161502047313,7.231287727916355,4.110890257481564,Oceania
Paraguay,2000,5343539,820810,35,1,1323,0.15360793661279537,7.187657919972569,3.5553766325098297,The Americas
Paraguay,2010,6454548,5920858,25,20,2840,0.9173156664107232,7.951559683267866,3.218915824068222,The Americas
Peru,2000,25861887,1273857,41,3,2061,0.049256150566275386,7.6309470660917,3.713596456650773,The Americas
Peru,2010,29076512,29115149,19,34,5292,1.0013288045003472,8.573951714199303,2.944491609360395,The Americas
Philippines,2000,77309965,6454359,40,2,1048,0.08348676655072862,6.954639819079006,3.6889044538014413,Asia
Philippines,2010,93260798,79895646,29,25,2140,0.8566905678846969,7.668561575305508,3.367330312150578,Asia
Poland,2000,38453757,6747000,10,7,4454,0.17545749821012288,8.401558072334575,2.3026850879943788,Europe
Poland,2010,38183683,46952111,6,62,12303,1.2296380891282803,9.417598495341155,1.7919261220073759,Europe
Portugal,2000,10225836,6664951,7,17,11471,0.6517756592223853,9.347577477457621,1.9460529959950605,Europe
Portugal,2010,10637346,15194897,4,51,21358,1.4284481298248641,9.969181702552353,1.3865443298750981,Europe
Qatar,2000,590957,120856,13,5,30053,0.20450895750452233,10.310717801865508,2.5650262775800314,Middle East
Qatar,2010,1758793,2329255,8,82,72398,1.3243485731407847,11.189933967495394,2.079566533867987,Middle East
Romania,2000,22442971,2499000,27,4,1651,0.11134889404794045,7.409137049613464,3.295873902355512,Europe
Romania,2010,21438001,24640000,14,40,7539,1.149360894236361,8.92784495885528,2.639128755635788,Europe
Russian Federation,2000,146303000,3263200,23,2,1775,0.02230439567199579,7.4815562652896395,3.135537693244867,Europe
Russian Federation,2010,141920000,237689224,12,43,10481,1.6748113303269447,9.257319468580915,2.4849899796493045,Europe
Rwanda,2000,8098344,39000,177,0,214,0.004815799378243255,5.36598068790813,5.176155382275383,Africa
Rwanda,2010,10624005,3548761,91,13,529,0.3340323164381041,6.270990322215681,4.5108704954674606,Africa
Samoa,2000,176549,2500,23,1,1391,0.014160374740157123,7.237778910830445,3.135537693244867,Oceania
Samoa,2010,183081,167400,20,7,3249,0.914349386337195,8.086102843456064,2.995782272304033,Oceania
San Marino,2000,26967,14503,5,49,28698,0.5378054659398525,10.264582747753986,1.6096378924367667,Europe
Sao Tome and Principe,2010,165397,102497,80,19,1215,0.6197028966668078,7.102500178819578,4.3820391345957574,Africa
Saudi Arabia,2000,20045276,1375881,26,2,9401,0.06863866578838825,9.148571451950207,3.2581349988203177,Middle East
Saudi Arabia,2010,27448086,51564375,18,41,16423,1.8786145962964411,9.706438131227774,2.8904273119085677,Middle East
Senegal,2000,9505862,250251,119,0,494,0.026325966019704473,6.202537541477372,4.7791318964375655,Africa
Senegal,2010,12433728,8343717,75,16,1034,0.6710551332633302,6.941191022185895,4.3175014467807555,Africa
Serbia,2010,7291436,9915348,7,43,5273,1.3598621725542128,8.570354929175815,1.9460529959950605,Europe
Seychelles,2000,81131,25961,14,7,7579,0.3199886603147995,8.933136675755549,2.639128755635788,Africa
Seychelles,2010,86525,117587,14,41,11130,1.358994510257151,9.317399534116847,2.639128755635788,Africa
Sierra Leone,2000,4143115,11940,233,0,153,0.0028818895927339694,5.030444457318788,5.451042745401984,Africa
Singapore,2000,4027900,2747400,4,35,23815,0.6820924054718339,10.078070955225302,1.3865443298750981,Asia
